_from,_to
weakness/UCA1.3,asset/5
weakness/UCA1.3,asset/6
weakness/UCA1.3,asset/13
weakness/UCA1.3,asset/15
weakness/UCA1.3,asset/10
weakness/UCA1.4,asset/5
weakness/UCA1.4,asset/6
weakness/UCA1.5,asset/5
weakness/UCA1.5,asset/6
weakness/UCA1.5,asset/13
weakness/UCA1.5,asset/15
weakness/UCA1.5,asset/10
weakness/UCA1.6,asset/5
weakness/UCA1.6,asset/6
weakness/UCA1.6,asset/13
weakness/UCA1.6,asset/15
weakness/UCA1.6,asset/10
weakness/UCA1.7,asset/10
weakness/UCA1.7,asset/13
weakness/UCA1.7,asset/15
weakness/UCA1.7,asset/5
weakness/UCA1.7,asset/6
weakness/UCA0.1,asset/5
weakness/UCA0.1,asset/6
weakness/UCA0.5,asset/8
weakness/UCA0.5,asset/9
weakness/UCA1.1,asset/8
weakness/UCA1.1,asset/9
weakness/UCA1.1,asset/10
weakness/UCA1.1,asset/13
weakness/UCA1.1,asset/15
weakness/UCA2.5,asset/8
weakness/UCA2.5,asset/9
weakness/UCA2.1,asset/8
weakness/UCA2.1,asset/9
weakness/UCA2.1,asset/10
weakness/UCA2.1,asset/13
weakness/UCA2.1,asset/15
weakness/UCA3.2,asset/5
weakness/UCA3.2,asset/6
weakness/UCA3.2,asset/13
weakness/UCA3.2,asset/15
weakness/UCA3.2,asset/10
weakness/UCA3.1,asset/1
weakness/UCA3.1,asset/2
weakness/UCA3.1,asset/11
weakness/UCA3.1,asset/13
weakness/UCA3.1,asset/14
weakness/UCA3.1,asset/15
weakness/UCA3.1,asset/16
weakness/UCA4.2,asset/1
weakness/UCA4.2,asset/2
weakness/UCA4.2,asset/3
weakness/UCA4.2,asset/4
weakness/UCA4.2,asset/14
weakness/UCA4.2,asset/16
weakness/UCA4.4,asset/1
weakness/UCA4.4,asset/2
weakness/UCA4.4,asset/3
weakness/UCA4.4,asset/4
weakness/UCA4.4,asset/14
weakness/UCA4.4,asset/16
